"id","trial","trial_index","abstract","treatment","treatment_string","title","abstract_text","stimulus","decision1_read_resp","decision1_read_rt","decision1_cite_resp","decision1_cite_rt","for_read_resp","for_read_resp_factor","for_read_rt","for_cite_resp","for_cite_resp_factor","for_cite_rt","decision2_read_resp","decision2_read_rt","decision2_cite_resp","decision2_cite_rt","rethink_resp","rethink_rt","read1_rt","read2_rt","date_time"
1,11,96,10,0,"non-significant","Polygenic Risk Scores and Heart Rate during Exposure in Patients with Agoraphobia","Polygenic risk scores (PRS) describe individual risks for specific diseases based on genetic information from multiple loci. Previous studies suggest that PRS may predict differences in the physiological activation of individuals with agoraphobia. In this study, we examined whether the possibility to predict affected individuals’ heart rate by their PRS depends on the type of exposure trial. We postulated that PRS would predict heart rate within in-vivo as well as in-virtuo trials. Data were analyzed from 132 individuals diagnosed with agoraphobia who underwent either in-vivo (N = 63) or in-virtuo (N = 69) exposure. Contrary to our hypothesis, heart rate was not significantly predicted by PRS in either the in-vivo or the in-virtuo setting. The results of this study suggest that while PRS provide useful diagnostic information for an individual’s risk of agoraphobia, they may not provide useful information for predicting physiological reactions in exposure settings.","text/10b.html_decision1_read",61,1567,61,1367,4,5,2192,4,5,2063,62,1399,61,1199,0,2647,41652,NA,"2024-12-10_08:54.58.537"
1,12,105,13,0,"non-significant","Deficits in Defensive Reactivity and QoL in Antisocial Personality Disorder","There is growing evidence of deficits in defensive reactivity (indexed by the startle blink reflex) in individuals diagnosed with antisocial personality disorder (ASPD). However, to date, no study has examined the role of defensive reactivity in the quality of life (QoL) of individuals with ASPD. In the current study, we therefore explored whether the startle blink reflex is negatively associated with QoL in 143 individuals diagnosed with ASPD. Defensive reactivity was measured using a fear-potentiated startle reflex test. To assess QoL, participants completed the Short Form (36) Health Survey (SF-36). Startle blink reflex potentiation deficits during aversive picture viewing deficits were common in the sample (62.3%). Blink reflex potentiation was not significantly associated with QoL. In sum, these findings provide no further evidence that deficits in defensive reactivity are linked to poor QoL in ASPD.","text/13b.html_decision1_read",28,1879,29,1623,4,5,2152,4,5,2334,27,1791,28,1287,0,871,46477,NA,"2024-12-10_08:54.58.537"
1,13,114,12,0,"non-significant","Efficacy of Behavioral Activation Depending on Age in Generalized Anxiety Disorder","Generalized anxiety disorder (GAD) is one of the most prevalent mental illnesses worldwide. Behavioral activation (BA), as a third-wave behavioral therapy, is consistently found to be an efficacious treatment option for major depressive disorder (MDD). In addition to its role in treating MDD, BA may be beneficial in terms of alleviating anxiety in GAD. However, little is known about whether BA reduces anxiety across the lifespan, as BA shows a high age-sensitive efficacy in patients with MDD, with younger patients benefiting more from BA compared to older patients. Therefore, the present study analyzed whether age is associated with the efficacy of BA regarding anxiety reduction. The sample comprised 163 individuals with GAD, who participated at two measurement time points (baseline and 6-month follow-up). The mean age was 39.3 years (SD = 9.7) and age was normally distributed. GAD symptom severity was examined using the Generalized Anxiety Disorder Scale-7 (GAD-7). GAD-7 scores were not significantly reduced at follow-up. Furthermore, we did not find significant differences in treatment efficacy between younger and older patients. Our findings suggest that BA might not always be an efficacious treatment option in GAD. Moreover, in contrast to depression, younger people do not show stronger effects of BA in GAD.","text/12b.html_decision1_read",31,1447,31,1375,4,5,2408,4,5,1063,27,3103,27,2215,0,2327,54320,NA,"2024-12-10_08:54.58.537"
1,14,123,6,1,"significant","Stressful Life Events and Symptom Deterioration in Adult ADHD","This longitudinal study investigated whether stressful life events in young adulthood predict symptom deterioration in attention-deficit/hyperactivity disorder (ADHD). A total of 164 university students diagnosed with ADHD during childhood participated in our prospective study. Participants completed measures on ADHD symptom severity and stressful life events at baseline (t0: age 18-20), 5-year follow-up (t1: age 23-25), and 9-year follow-up (t2: age 27-29). Symptom deterioration was defined as the difference in symptom severity between two measurement time points. Stressful life events at t0 and t1 significantly predicted symptom deterioration at t1 and t2, respectively. The findings support evidence from a recent qualitative study that stressful life events might be linked to subsequent symptom deterioration in ADHD during young adulthood.","text/6a.html_decision1_read",63,2175,63,2031,5,6,1647,5,6,1400,64,2335,63,1975,0,1039,25721,NA,"2024-12-10_08:54.58.537"
1,15,132,2,1,"significant","Antenatal Depressive Symptoms Predict Postnatal Depersonalization/Derealization Symptoms","Around one fifth of all pregnant women in the US report antenatal depressive symptoms (ADS). A recent study on the mental health of young mothers in Bolivia found that ADS predict not only postnatal depression but also postnatal depersonalization/derealization symptoms (PDDS). The present study investigated whether ADS also predict PDDS in mothers in the US. Therefore, we conducted a prospective survey study with 124 pregnant women in San Diego County, CA, and in Minneapolis, MN. Participants were recruited in week 20 of pregnancy. ADS were measured using the Beck Depression Inventory (BDI). Six months after hospital discharge, participants completed a self-report questionnaire for PDDS using the Dissociative Experiences Scale (DES). 20.1% of the women reported ADS above the cut-off (BDI score ≥ 18) and 7.4% reported having dissociative experiences in the six months after birth (DES score ≥ 20). ADS scores significantly predicted PDDS, with higher ADS scores indicating higher PDDS scores. Consistent with findings in Bolivian mothers, the present findings in American mothers suggest that ADS might be a relevant etiological factor for PDDS.","text/2a.html_decision1_read",58,1770,56,1374,4,5,2247,4,5,1110,60,2983,60,2670,0,1262,38757,NA,"2024-12-10_08:54.58.537"
1,16,141,8,0,"non-significant","Panic Disorder, Cognitive Bias, and Tinnitus","Individuals with panic disorder have an elevated risk of developing permanent tinnitus compared to healthy adults. Evidence from a large cohort study indicated that cognitive biases might play a role in the emergence of tinnitus. Since cognitive biases are common in individuals with panic disorder, we examined whether cognitive biases in panic disorder predict the emergence of tinnitus. The present prospective cohort study included 123 individuals with panic disorder. At baseline, participants completed measures of cognitive bias and were assessed by a clinician regarding anxiety symptoms and tinnitus. The assessment of anxiety symptoms and tinnitus was repeated at 3-year follow-up. Hazard ratios were estimated and logistic regression analyses were computed. At 3-year follow-up, 12% of participants reported a newly emerged tinnitus. Cognitive biases did not significantly predict the emergence of tinnitus. This study suggests that addressing cognitive biases in psychotherapy will likely not yield beneficial preventive effects for tinnitus emergence in patients with panic disorder.","text/8b.html_decision1_read",30,2231,30,1607,4,5,1624,4,5,1607,22,1807,22,1711,0,991,31873,NA,"2024-12-10_08:54.58.537"
2,1,5,15,1,"significant","Therapist and Patient Age Effects on Dropout and Residual Symptoms in Borderline Personality Disorder","Borderline personality disorder (BPD) is associated with high levels of psychological strain. Residual symptoms after treatment and dropout rates are especially high in young adults. Evidence from other personality disorders suggests that in this age group, the therapist’s experience is negatively associated with treatment outcome. Thus, in the present study, we examined whether young adults (18-30 years) with BPD treated by more experienced therapists were more likely (1) to report elevated symptoms at post-treatment and (2) to drop out of therapy. In total, 145 individuals diagnosed with BPD underwent a standardized and manualized 18-week cognitive behavior therapy intervention administered by 53 therapists (therapist experience: M=21.4; SD=7.4). Symptom severity was assessed using the Borderline Symptom List 23 (BSL-23) at baseline and after treatment. Linear and logistic multilevel models were fitted to account for the nested structure of the data. Twenty-one individuals dropped out during therapy. Young adults with BPD treated by more experienced therapists were significantly more likely to report both elevated symptoms at post-treatment and to drop out. The results indicate that young individuals with BPD benefit more from therapy with less experienced psychotherapists, both in terms of symptom reduction and treatment dropout.","text/15a.html_decision1_read",94,12397,90,10514,5,6,12166,5,6,4362,89,10315,90,14815,0,3098,50875,NA,"2024-12-09_20:43.04.174"
2,2,14,14,0,"non-significant","Heart Rate Variability and Therapy Dropout in Arachnophobia","Exposure therapy is an efficacious treatment in arachnophobia. However, several studies have documented high dropout rates. A recent study found that low high-frequency heart rate variability (HF-HRV), a reliable physiological indicator of parasympathetic activation, predicted dropout from exposure-focused therapy in patients with agoraphobia. Therefore, we investigated whether low pre-treatment HF-HRV predicts therapy dropout in individuals with arachnophobia. A total of 146 patients with arachnophobia underwent a standardized and manualized 12-week treatment focusing on exposure in vivo. Logistic regression models were fitted. Forty-two patients dropped out during treatment. HF-HRV was not significantly associated with dropout from exposure-focused treatment. The findings suggest that contrary to individuals with agoraphobia, spider-phobic individuals with low HF-HRV may not benefit  from treatment options aimed at increasing HF-HRV to avoid high dropout rates.","text/14b.html_decision1_read",85,4898,87,2215,4,5,4049,4,5,1631,85,4299,86,1446,0,1864,48380,NA,"2024-12-09_20:43.04.174"
2,3,23,4,1,"significant","Therapists’ Empathy and Symptom Severity Bias in the First Therapy Session","A recent study on panic disorder found that patients rated their own symptoms as significantly lower when the study therapist showed low empathy, as compared to high empathy, in the first therapy session. The present observational study investigated whether study therapists’ empathy also predicts symptom severity in individuals diagnosed with major depression (MD). A total of 153 individuals diagnosed with MD completed the Beck Depression Inventory during the first therapy session. Empathy in the 56 responsible study therapists was measured using the Toronto Empathy Questionnaire (TEQ). The therapists’ TEQ scores significantly predicted patients’ BDI scores during the first therapy session. Patients with low-empathy therapists reported significantly fewer symptoms than did patients with high-empathy therapists. The findings confirm that baseline measures of symptom severity in MD might be biased by lack of empathy of the study therapist.","text/4a.html_decision1_read",91,3082,91,1614,5,6,4965,3,4,1680,80,2415,80,1748,0,1349,74632,NA,"2024-12-09_20:43.04.174"
2,4,32,6,0,"non-significant","Stressful Life Events and Symptom Deterioration in Adult ADHD","This longitudinal study investigated whether stressful life events in young adulthood predict symptom deterioration in attention-deficit/hyperactivity disorder (ADHD). A total of 164 university students diagnosed with ADHD during childhood participated in our prospective study. Participants completed measures on ADHD symptom severity and stressful life events at baseline (t0: age 18-20), 5-year follow-up (t1: age 23-25) and 9-year follow-up (t2: age 27-29). Symptom deterioration was defined as the difference in symptom severity between two measurement time points. Stressful life events at t0 and t1 did not significantly predict symptom deterioration at t1 and t2, respectively. The findings provide longitudinal evidence that stressful life events might not be linked to subsequent symptom deterioration in ADHD during young adulthood.","text/6b.html_decision1_read",94,2281,96,2982,6,7,4382,5,6,1981,95,2948,87,1965,0,997,34904,NA,"2024-12-09_20:43.04.174"
2,5,41,16,1,"significant","Contrast Avoidance and Residual Symptoms in Patients with GAD after CBT","The contrast avoidance model assumes that rather than the avoidance of negative affect, the avoidance of strong emotional contrasts is a central component of generalized anxiety disorder (GAD). Several experimental studies have demonstrated evidence to support this theoretical framework, but no study to date has investigated whether higher pre-treatment levels of contrast avoidance predict higher post-treatment residual symptoms following cognitive behavior therapy (CBT), when controlling for baseline symptom severity. In the present study, 128 patients with GAD underwent a 15-week CBT intervention focusing on worry exposure. Both GAD symptom severity and emotional contrast avoidance severity were assessed at baseline and at follow-up. Individuals who reported higher contrast avoidance at baseline were significantly more likely to report higher residual symptoms at follow-up, even when controlling for baseline symptom severity. The findings of this study provide evidence for an independent role of contrast avoidance in treatment efficacy in GAD.","text/16a.html_decision1_read",61,2932,58,2498,4,5,3115,4,5,4647,60,2763,62,1548,0,1149,1482038,NA,"2024-12-09_20:43.04.174"
2,6,50,8,1,"significant","Panic Disorder, Cognitive Bias, and Tinnitus","Individuals with panic disorder have an elevated risk of developing permanent tinnitus compared to healthy adults. Evidence from a large cohort study indicated that cognitive biases might play a role in the emergence of tinnitus. Since cognitive biases are common in individuals with panic disorder, we examined whether cognitive biases in panic disorder predict the emergence of tinnitus. The present prospective cohort study included 123 individuals with panic disorder. At baseline, participants completed measures of cognitive bias and were assessed by a clinician regarding anxiety symptoms and tinnitus. The assessment of anxiety symptoms and tinnitus was repeated at 3-year follow-up. Hazard ratios were estimated and logistic regression analyses were computed. At 3-year follow-up, 12% of participants reported a newly emerged tinnitus. Cognitive biases significantly predicted the emergence of tinnitus. This study suggests that addressing cognitive biases in psychotherapy might yield beneficial preventive effects for tinnitus emergence in patients with panic disorder.","text/8a.html_decision1_read",90,3866,83,3465,5,6,2165,4,5,1931,89,12865,80,6648,0,1248,40918,NA,"2024-12-09_20:43.04.174"
2,7,59,11,1,"significant","Socioeconomic Adaptation Theory of Rehabilitation in Schizophrenia","According to the Socioeconomic Adaptation Theory of Rehabilitation (SAToR), individuals with higher socioeconomic status (SES) tend to benefit more from psychiatric rehabilitation than individuals with lower SES. In line with the SAToR, we hypothesized that higher SES is associated with a greater reduction in symptom severity in patients with schizophrenia. We conducted an observational study over the course of a 12-month rehabilitation program, encompassing 146 participants with schizophrenia who were newly admitted to a psychiatric rehabilitation clinic. Symptom severity was measured using the Positive and Negative Syndrome Scale (PANSS). A longitudinal multilevel model was computed to predict rates of change in symptom severity. In line with our hypothesis, symptom change was significantly predicted by SES. This finding suggests that consistent with the SAToR, individuals with higher socioeconomic status (SES) tend to benefit more from rehabilitation of schizophrenia than individuals with lower SES.","text/11a.html_decision1_read",66,3733,66,1981,3,4,3816,3,4,1465,50,2415,50,1515,0,948,92630,NA,"2024-12-09_20:43.04.174"
2,8,68,2,1,"significant","Antenatal Depressive Symptoms Predict Postnatal Depersonalization/Derealization Symptoms","Around one fifth of all pregnant women in the US report antenatal depressive symptoms (ADS). A recent study on the mental health of young mothers in Bolivia found that ADS predict not only postnatal depression but also postnatal depersonalization/derealization symptoms (PDDS). The present study investigated whether ADS also predict PDDS in mothers in the US. Therefore, we conducted a prospective survey study with 124 pregnant women in San Diego County, CA, and in Minneapolis, MN. Participants were recruited in week 20 of pregnancy. ADS were measured using the Beck Depression Inventory (BDI). Six months after hospital discharge, participants completed a self-report questionnaire for PDDS using the Dissociative Experiences Scale (DES). 20.1% of the women reported ADS above the cut-off (BDI score ≥ 18) and 7.4% reported having dissociative experiences in the six months after birth (DES score ≥ 20). ADS scores significantly predicted PDDS, with higher ADS scores indicating higher PDDS scores. Consistent with findings in Bolivian mothers, the present findings in American mothers suggest that ADS might be a relevant etiological factor for PDDS.","text/2a.html_decision1_read",79,3330,78,2363,5,6,1949,5,6,1546,81,1731,81,2065,0,916,275218,NA,"2024-12-09_20:43.04.174"
2,9,77,13,1,"significant","Deficits in Defensive Reactivity and QoL in Antisocial Personality Disorder","There is growing evidence of deficits in defensive reactivity (indexed by the startle blink reflex) in individuals diagnosed with antisocial personality disorder (ASPD). However, to date, no study has examined the role of defensive reactivity in the quality of life (QoL) of individuals with ASPD. In the current study, we therefore explored whether the startle blink reflex is negatively associated with QoL in 143 individuals diagnosed with ASPD. Defensive reactivity was measured using a fear-potentiated startle reflex test. To assess QoL, participants completed the Short Form (36) Health Survey (SF-36). Startle blink reflex potentiation deficits during aversive picture viewing were common in the sample (62.3%). Blink reflex potentiation was negatively and significantly associated with QoL. In sum, these findings provide clear evidence that deficits in defensive reactivity are linked to poor QoL in ASPD.","text/13a.html_decision1_read",79,2866,60,3681,4,5,2083,2,3,3315,78,1981,50,1965,0,965,29180,NA,"2024-12-09_20:43.04.174"
2,10,86,12,1,"significant","Efficacy of Behavioral Activation Depending on Age in Generalized Anxiety Disorder","Generalized anxiety disorder (GAD) is one of the most prevalent mental illnesses worldwide. Behavioral activation (BA), as a third-wave behavioral therapy, is consistently found to be an efficacious treatment option for major depressive disorder (MDD). In addition to its role in treating MDD, BA may be beneficial in terms of alleviating anxiety in GAD. However, little is known about whether BA reduces anxiety across the lifespan, as BA shows a high age-sensitive efficacy in patients with MDD, with younger patients benefiting more from BA compared to older patients. Therefore, the present study analyzed whether age is associated with the efficacy of BA regarding anxiety reduction. The sample comprised 163 individuals with GAD, who participated at two measurement time points (baseline and 6-month follow-up). The mean age was 39.3 years (SD = 9.7) and age was normally distributed. GAD symptom severity was examined using the Generalized Anxiety Disorder Scale-7 (GAD-7). GAD-7 scores were significantly reduced at follow-up. Furthermore, the effect of BA on symptom reduction was significantly associated with age, with younger patients benefiting more from BA than older patients. Our findings suggest that BA is also relevant for GAD. Moreover, comparable to depression, younger people show stronger effects of BA in GAD.","text/12a.html_decision1_read",90,2215,89,2114,6,7,2799,5,6,1616,96,2214,86,2316,0,1031,68562,NA,"2024-12-09_20:43.04.174"
2,11,95,9,0,"non-significant","Behavioral Activation and Working Memory Capacity in MDD","Several studies have documented positive effects of behavioral activation therapy (BAT) on stress reduction in persons with major depressive disorder (MDD). Two recent studies reported that the efficacy of BAT in terms of stress reduction was mediated by fluid intelligence. However, a neuroscientific study suggested that this mediation might be attributable to a shared functional area between stress regulation and working memory in the hypothalamus. Therefore, in this paper, we explored whether working memory capacity mediates the efficacy of BAT regarding stress reduction in 145 individuals diagnosed with MDD. At baseline, we assessed working memory capacity using an n-back task (2/3-back) and fluid intelligence using the Culture Fair Intelligence Test (CFIT). Stress was assessed using the Perceived Stress Scale (PSS-10) at baseline and after 14 weekly sessions of BAT. A SEM model was estimated to evaluate mediation. In our SEM model, significant stress reduction after BAT was not significantly mediated either by working memory capacity or by fluid intelligence. The findings indicate that the efficacy of BAT regarding stress reduction is not mediated by working memory capacity or by other aspects of fluid intelligence, potentially ruling out a shared functional area in the hypothalamus.","text/9b.html_decision1_read",66,2564,60,1549,4,5,1782,3,4,1447,66,1812,50,1200,0,848,25151,NA,"2024-12-09_20:43.04.174"
2,12,104,1,0,"non-significant","Efficacy of MBCT for Emotion Regulation in Bulimia Nervosa","Eating disorders are characterized by emotional, behavioral, and physiological dysregulation in relation to food intake and self-identity. Several studies have documented positive effects of mindfulness-based interventions in the treatment of eating disorders, and systematic reviews have indicated emotion regulation as a specific mechanism of mindfulness-based interventions. Hence, we hypothesized that low emotion regulation skills in individuals with bulimia nervosa (BN) might be improved by mindfulness-based cognitive therapy (MBCT). A total of 129 women diagnosed with BN received group MBCT. The Courtauld Emotional Control Scale (CECS) was applied pre- and post-intervention and an ANOVA was conducted. We did not find a significant interaction effect: The data revealed no improvement in emotion regulation over time in patients reporting lower emotion regulation skills at baseline. Emotion regulation improvement might not be a mechanism of mindfulness-based interventions in eating disorders.","text/1b.html_decision1_read",89,1882,81,2781,5,6,1598,4,5,3699,92,3965,82,2114,0,932,31348,NA,"2024-12-09_20:43.04.174"
